Locality,Aggregate rating,restaurant_count
"Logix City Centre, Sector 32, Noida",1.91,30
"Logix Cyber Park, Sector 62, Noida",0.0,2
"Long Acre, Covent Garden",3.8,1
Lorn,3.6,1
Lorne Street,4.2,1
Lower Parel,4.13,3
"LuLu Mall, Edappally",4.25,2
Lyall Bay,4.3,1
Lynnwood,4.3,1
"M Cube Mall, Vadiwadi",3.8,1
MG Road,1.61,63
"MGF Mega City Mall, MG Road",3.65,4
"MGF Metropolis Mall, MG Road",3.2,6
"MGF Metropolitan Mall, MG Road",3.24,24
"MGF Metropolitan Mall, Saket",3.64,5
"MGM Club, Daryaganj",0.53,6
"MSX Mall, Greater Noida",2.6,7
MVP Colony,4.1,1
Macedon,3.5,1
Macon,4.31,10
Macunk�_y,4.3,1
Maddilapalem,3.5,1
Madeira Beach/Redington Beach,4.5,1
Madhapur,4.3,2
Madinat Zayed,3.6,1
"Madinat Zayed Shopping Centre, Madinat Zayed ",4.5,1
Madureira,0.0,1
Maharana Pratap Nagar,3.84,5
Maharani Peta,3.65,2
Mahipalpur,1.07,69
"Maidens Hotel, Civil Lines",3.13,3
"Main Market, Sarabha Nagar",4.08,5
"Majaz Waterfront, Al Majaz 3",3.9,1
"Majiwada, Thane West",3.9,1
Majnu ka Tila,0.5,25
Malad West,4.33,3
Mall Road,3.92,4
"Mall of Qatar, Al Gharafa",4.0,1
"Mall of the Emirates, Barsha 1",4.3,1
Malsi,3.9,1
Maltepe,4.4,1
Malviya Nagar,3.43,85
Mandi House,1.62,4
"Mani Square Mall, Kankurgachi",3.9,1
Mankhool,4.4,1
Mansingh Road,0.0,1
Marathahalli,4.5,2
"Marina Centre, Downtown Core",3.57,3
Marion,4.7,1
Market Street,4.1,2
Marshalltown,4.9,1
Mathura Road,2.1,2
"Maurya Lok, Fraser Road Area",3.6,1
Mayapuri Phase 2,2.5,15
Mayfair,4.6,2
"Mayfair Lagoon, Jayadev Vihar",4.1,1
Mayfield,2.9,1
Mayur Vihar Phase 1,2.03,84
Mayur Vihar Phase 2,2.81,29
Mayur Vihar Phase 3,1.84,32
Mc Millan,2.4,1
Mehrauli,0.58,20
"Melrose Arch, Melrose ",4.1,1
"Menlyn Boutique Hotel, Menlyn",4.4,1
"Menlyn Maine, Waterkloof Glen",3.9,1
"Menlyn Shopping Centre, Menlyn",3.7,2
Meridian,4.0,1
"Metro Walk Mall, Rohini",3.13,3
Middleton Beach,3.8,1
Miller,3.4,1
Mills 50,4.5,2
Mission Bay,2.3,1
Moda,4.0,1
Model Town 1,3.8,1
Model Town 2,3.26,25
Model Town 3,3.01,10
Moema,3.9,1
Mohan Nagar,4.4,1
"Moments Mall, Kirti Nagar",3.23,23
Mondha,3.5,1
Monroe,3.6,1
Montville,2.4,1
"Mosaic Hotels, Sector 18, Noida ",3.25,2
Moseley,2.0,2
Moti Bagh,3.18,5
Moti Nagar,1.85,40
Mt Albert,4.4,1
Mt Eden,4.17,3
Mt Victoria,4.1,1
Mukherjee Nagar,1.06,68
Munirka,1.56,43
Musheireb,3.8,1
"Mushrif Mall, Al Mushrif",4.0,1
Mussafah Sanaiya,4.0,1
Muwailih Commercial,4.8,1
Mylapore,4.0,1
NIT,0.0,4
Nadesar,3.5,2
Najafgarh,0.05,60
Najda,4.1,3
Nampa,4.4,1
Nangloi,0.0,41
Nanpura,3.9,1
Naraina,1.45,54
Narela,0.0,8
"Nassima Royal Hotel, Trade Centre Area",4.9,1
Navarre,4.2,1
Navrangpura,4.2,2
Nehru Place,2.5,32
"Neil Road, Outram",3.1,1
"Nelson Mandela Square, Sandown",4.3,1
Nerul,3.7,1
Netaji Subhash Place,3.53,48
New BEL Road,4.6,1
New Friends Colony,2.26,47
New Palasia,4.03,3
New Tampa,4.9,1
New Town,4.03,4
Newlands,4.5,1
Newmarket,3.5,1
"Nicolway Shopping Centre, Bryanston",4.6,1
"Ninex City Mart Mall, Sohna Road",3.35,2
Nirala Bazar,3.42,4
Nizamuddin,2.56,10
"North Bridge Road, Rochor",3.2,1
Northeast St Petersburg,4.5,1
Northern Quarter,4.28,4
Nungambakkam,4.4,2
"Nuvali, Don Jose, Santa Rosa",3.6,1
Nyay Nagar,3.2,1
Ohri' Hitech City,4.1,1
Ojo Caliente,3.6,1
Okhla Phase 1,0.41,8
Okhla Phase 2,2.12,6
"Old Dutch Hospital, Fort",4.9,1
Old Palasia,3.9,2
Old Railway Road,2.71,41
Old Town,3.93,9
"Omaxe Celebration Mall, Sohna Road, Gurgaon",2.2,1
Omaxe Gurgaon Mall,3.37,3
"One Horizon Center, Golf Course Road",3.56,8
"One and Only Hotel, V & A Waterfront",4.0,1
Oxford Road,3.5,2
PAU,3.5,1
PVR Anupam Complex,3.43,13
"Pacific Mall, Jakhan",3.9,1
"Pacific Mall, Tagore Garden",2.72,27
Paharganj,2.81,64
"Pai Hotels, Doora",3.7,1
Paia,4.9,1
Palam,0.58,60
Palam Vihar,0.98,49
Palarivattom,4.2,1
"Palate of Delhi, Chanakyapuri",0.71,9
Palm Cove,4.4,1
Palma Ceia,4.7,1
Paltan Bazaar,3.9,1
Panaji,4.47,4
Panampilly Nagar,4.03,3
Panchsheel Park,3.52,4
Panchvati,3.5,1
Pandara Road Market,3.86,10
Pandav Nagar,0.29,20
Parade,3.9,1
Parijat Nagar,3.8,1
"Park Ascent, Sector 62, Noida",0.0,1
"Park Inn, Sector 15, Gurgaon",3.2,1
"Park Plaza Hotel, Sector 55, Noida",3.57,3
"Park Plaza, Sector 21, Faridabad",3.0,1
"Park Plaza, Sushant Lok",3.5,4
Park Street Area,4.22,4
"ParkShopping, Guar�� I",4.0,1
Parkhurst,4.07,3
Parktown North,4.2,1
Parnell,4.0,1
"Parsavnath City Mall, Sector 12, Faridabad",2.0,3
Paschim Vihar,3.15,56
Patia,3.89,9
Patliputra Colony,3.5,1
Patparganj,3.19,8
Paynesville,2.6,1
Peelamedu,3.92,5
Peer Gate Area,4.1,1
Penjaringan,4.9,1
Penola,3.4,1
Penrose,4.5,1
Pensacola,4.2,12
Pensacola Beach,4.06,5
Perdido Key,4.55,2
Perungudi,3.8,1
Phillip Island,3.7,1
"Phoenix Market City, Viman Nagar",4.5,1
"Piccadily Hotel, Janakpuri",2.6,1
"Pineslopes Shopping Centre, Fourways",4.35,2
Pinheiros,4.3,1
Piplod,4.05,4
Pitampura,2.87,85
"Plaza Festival, Kuningan",4.3,1
"Plaza Mall, MG Road",3.0,1
Pocatello,3.46,16
Podanur,3.8,1
Pondok Aren,4.9,1
"Pont��o Lago Sul, Lago Sul",3.2,1
"Portman Mews South, Marble Arch",4.5,1
"Post Office Center, Illovo",4.4,1
Potrero,3.3,1
Powai,4.35,2
Pragati Maidan,3.9,2
Prahlad Nagar,4.5,1
Prashant Vihar,1.62,17
Pratap Nagar,4.5,1
Preet Vihar,1.92,49
"Premier Inn, Shalimar Bagh",3.05,2
"Pride Plaza Hotel, Aerocity",1.03,3
Princeton,4.0,1
"Prozone Mall, Chicalthana",3.4,1
Punjabi Bagh,3.39,60
"Quest Mall, Ballygunge",4.4,1
Qutab Institutional Area,0.38,23
"Qutab Plaza, DLF Phase 1",3.11,13
"R Deccan Mall, JM Road",4.5,1
R K Puram,1.34,38
RA Puram,4.3,1
RS Puram,4.25,2
Race Course,3.91,9
"Radisson Blu Hotel, Vijay Nagar",3.8,1
"Radisson Blu Plaza Delhi, Mahipalpur",3.95,6
"Radisson Blu, Hindpiri",3.4,1
"Radisson Blu, Paschim Vihar",3.2,2
"Radisson Blu, Sector 18, Noida",3.5,1
"Radisson Blu, Tajganj",3.85,2
"Radisson Hotel, Nadesar",3.3,2
"Raheja Mall, Sohna Road",2.83,3
"Rajagiriya, Colombo",4.1,1
Rajendra Place,1.79,8
Rajguru Nagar,3.9,1
Rajinder Nagar,2.94,81
Rajouri Garden,3.59,99
Rajpur,4.18,5
Rakabganj,4.1,1
"Ramada Gurgaon Central, Sector 44",3.5,1
Ramapuram,4.4,1
Ramdaspeth,4.0,1
"Ramee Guestline Hotel, Juhu",4.0,1
Ranjit Avenue,3.56,5
"Rave 3, Tilak Nagar",3.9,1
"Rave Moti, Kakadeo",3.8,1
Ravet,4.2,1
Renaissance Lucknow Hotel,4.2,1
Rep�_blica,4.35,2
Residency Road,4.2,1
Restaurant Row,4.4,1
Ringgold,4.2,3
"Riverside Mall, Gomti Nagar",4.7,1
"Robertson Quay, Singapore River",3.2,1
Rock Spring,4.1,1
Rohini,3.35,48
"Roseate House, Aerocity",2.17,3
Rosebank,4.5,1
"Royal Inn, Hazratganj",4.2,1
Rushikonda,4.0,1
Rusholme,4.1,2
SDA,2.79,15
"SM Aura Premier, Bonifacio Global City, Taguig City",4.6,2
"SM Megamall, Ortigas, Mandaluyong City",4.7,3
"SM by the Bay, Mall of Asia Complex, Pasay City",4.1,2
"SMS Hotel, Peelamedu",4.3,1
"SRS Mall, Sector 12, Faridabad",0.0,1
"SSK Solitaire, Satpur",3.4,1
Sadar,4.2,1
Sadar Bazaar,4.0,1
Sadar Bazar,3.15,2
Safdarjung,2.8,80
Sagar Nagar,3.6,1
"Sahara Centre, Al Nahda",4.1,1
"Sahara Mall, MG Road",3.0,2
Sahid Nagar,4.0,2
Saibaba Colony,4.55,2
Sainik Farms,0.79,35
Sainikpuri,4.6,1
Saket,2.89,36
Sanford,4.8,1
"Sangam Courtyard, RK Puram",3.87,7
Santa Teresa,4.7,1
Santhome,4.3,1
Sarabha Nagar,4.2,1
Sarita Vihar,1.5,26
Sarjapur Road,4.2,2
Sarojini Nagar,1.53,13
Satpur,3.42,4
Satwa,4.4,1
Satyaniketan,3.48,79
Savannah,4.19,18
Sayaji Hotel,4.3,1
"Sayaji Hotel, Vijay Nagar",4.3,1
Sea Point,4.6,2
Sector 1,0.0,2
Sector 10,1.65,15
Sector 11,2.29,12
Sector 110,2.05,53
Sector 12,1.37,30
Sector 125,2.17,8
Sector 127,0.0,1
Sector 132,0.96,43
Sector 14,2.6,52
Sector 15,2.62,71
"Sector 15, Dwarka",3.1,1
Sector 16,1.84,28
Sector 17,0.96,31
Sector 18,3.37,75
Sector 19,2.12,6
Sector 2,1.0,9
Sector 20,1.87,3
Sector 21,1.28,24
Sector 22,0.64,18
Sector 23,2.18,12
Sector 25,2.02,6
Sector 26,3.08,5
Sector 27,2.18,26
Sector 28,2.55,11
Sector 29,3.57,47
Sector 3,1.94,5
Sector 30,3.04,5
Sector 31,2.37,52
Sector 33,1.92,5
Sector 34,1.97,15
Sector 35,2.2,9
Sector 37,2.34,45
Sector 38,1.98,13
Sector 39,0.67,23
Sector 4,1.65,2
Sector 40,1.7,2
Sector 41,2.17,48
Sector 42,0.0,3
Sector 43,1.58,14
Sector 44,1.77,23
Sector 45,1.5,40
Sector 46,2.3,4
Sector 47,1.07,6
Sector 48,2.29,10
Sector 49,1.94,5
Sector 5,2.52,4
"Sector 5, Salt Lake",4.25,2
Sector 50,2.4,37
Sector 51,1.24,28
Sector 52,1.22,5
Sector 53,1.32,20
Sector 54,3.15,2
Sector 55,1.45,2
Sector 56,1.69,59
Sector 57,2.0,3
Sector 58,1.15,13
Sector 59,1.63,7
Sector 6,3.1,1
Sector 60,0.0,3
Sector 61,1.3,5
Sector 62,1.96,76
Sector 63,0.43,12
Sector 65,1.0,6
Sector 7,2.9,24
Sector 70,4.3,1
Sector 71,0.86,7
Sector 72,1.29,61
Sector 8,2.53,7
Sector 83,3.2,1
Sector 86,3.17,11
Sector 9,1.22,6
Sector 93,2.08,18
"Select Citywalk Mall, Saket",3.76,25
Seminole Heights,4.43,3
Senapati Bapat Road,4.15,2
Senopati,4.3,2
Setor De Clubes Esportivos Sul,4.9,1
Shahdara,1.41,87
Shahgunj,3.3,1
Shahpur Jat,3.72,26
Shakarpur,0.76,27
Shalimar Bagh,2.17,67
"Shangri La's - Eros hotel, Janpath",3.88,5
Shanti Niketan Marg,3.1,2
Shastri Nagar,4.6,1
Shastri Park,0.0,1
Sheikh Sarai,3.1,1
"Sheraton New Delhi Hotel, Saket",4.07,3
"Shipra Mall, Indirapuram",3.03,17
Shivala,3.5,1
"Shopping Iguatemi, Lago Norte",3.3,1
"Shopping Mall, DLF Phase 1",3.37,6
"Shopping Metr�� Santa Cruz, Vila Mariana",0.0,1
"Shopping Morumbi, Santo Amaro",0.0,1
"Shopprix Mall, Sector 61, Noida",1.55,2
Sigra,3.35,2
Sikandarpur,0.0,4
"Silver Arc Mall, Gurdev Nagar",3.8,1
"Silver Spring Arcade, Science City Area",4.1,1
Sioux City,3.78,18
Siripuram,4.0,2
Sitabuldi,3.7,3
Six Mile,4.0,1
"Sky City Metro, Auckland CBD",4.0,1
"Slave Island, Colombo 02",4.1,1
Small Heath,3.1,1
Smethwick,3.8,1
"Sofitel Philippine Plaza Manila, Pasay City",4.9,1
Sohna Road,3.26,42
"Solenad 3, Don Jose, Santa Rosa",4.0,1
Souq Waqif,4.7,1
South City 1,0.0,2
South City 2,1.09,8
South Extension 1,2.17,13
South Extension 2,2.76,41
South Sioux City,3.5,1
Southern Avenue,4.0,1
"Southern Park Mall, Saket",3.45,2
"Spark Mall, Kamla Nagar",3.32,5
Sparkhill,3.7,1
"Spice World Mall, Sector 25",1.91,16
Spinningfields,4.33,3
"Spot 18 Mall, Pimple Saudagar",3.6,1
"Spring City Mall, Doranda",3.5,1
Sri Krishnapuri,3.33,3
"Star City Mall, Mayur Vihar Phase 1",2.99,7
"Status Club, Kanpur Cantonment",4.3,1
Subhash Nagar,1.07,51
Sudoeste,3.6,1
"Suncity Business Tower, Golf Course Road",3.95,2
Sunder Nagar,3.17,7
Sunderpur,3.5,1
"Sungai Pinang, Rochor",3.8,1
"Supermart 1, DLF Phase 4",3.75,17
"Supertech Shopprix Mall, Sector 61",2.52,19
Suraj Kund,1.54,19
Surya Nagar,3.25,2
Sushant Lok,2.91,30
"Sushant Shopping Arcade, Sushant Lok, Gurgaon",3.19,18
Swaroop Nagar,3.7,3
Sylvester,3.4,1
T. Nagar,4.45,2
"T3 Domestic Arrival, Aerocity",3.2,1
"TDI Mall, Rajouri Garden",3.5,3
TT Nagar,4.0,3
Tagaytay City,4.5,1
Tagore Garden,1.91,36
Tagore Town,3.5,1
"Taj Vivanta, Khan Market",3.63,3
Tajganj,4.05,8
"Taman Impian Jaya Ancol, Ancol",4.9,1
Tanjung Duren,3.4,1
Tanunda,4.4,1
"Tavistock Court, Covent Garden",4.1,1
Te Aro,4.3,15
Tebet,4.0,1
"Telok Ayer Street, Outram",3.9,1
Thaltej,4.1,1
Thamrin,4.3,1
"The Ashok, Chanakyapuri",3.53,6
"The Atrium, Suraj Kund",3.05,2
"The Bristol Hotel, DLF Phase 1",3.17,3
"The Claremont, MG Road",3.0,1
"The Claridges, Aurangzeb Road",3.71,7
"The Club Centre, Hazelwood, Near Waterkloof",4.3,2
"The Crown, Nayapalli",4.3,1
"The Dubai Mall,Downtown Dubai",4.07,3
"The Fern, Sola",4.1,1
"The Galgotias, Sector 23",2.7,1
"The Gate, Dafna",3.9,1
"The Grand New Delhi, Vasant Kunj",3.45,2
"The Great India Place, Sector 38",2.65,37
"The Habitare Hotel, Sector 14",3.0,2
"The Imperial, Janpath",3.6,9
"The India Mall, New Friends Colony",2.6,8
"The Lalit New Delhi, Barakhamba Road",3.54,8
"The Landmark Hotel, Mall Road",3.9,1
"The Langham Hotel, Auckland CBD",4.7,1
The Leela Ambience Convention Hotel,3.78,4
"The Leela Palace, Chanakyapuri",3.78,5
"The Lodhi, Lodhi Road",3.35,2
"The Mailbox, Broad Street",4.0,1
"The Midland, Deansgate",4.25,2
The Milk District,4.9,1
"The Oberoi, Udyog Vihar",3.2,1
"The Ocean Pearl, Kodailbail",3.7,1
"The Park, Connaught Place",3.47,3
"The Park, Lawsons Bay",3.8,1
"The Pllazio Hotel, Sector 29",3.6,1
"The Promenade, White Town",3.8,2
"The Royal Retreat, Bariatu",3.5,1
"The Sapphire Mall, Sohna Road",3.3,1
"The St. Regis, Westbay",4.4,1
"The Suryaa New Delhi, New Friends Colony",3.42,4
"The Taj Mahal Hotel, Mansingh Road",3.79,7
"The Taj Palace Hotel, Chanakyapuri",3.8,4
"The Uppal, Aerocity",3.07,3
"The Village Restaurant Complex, Khel Gaon Marg",3.83,3
"The Westin Doha Hotel & Spa, Fereej Bin Mahmoud",4.3,1
"The Westin Gurgaon, Sector 29",3.87,3
"The Westin Sohna Resort & Spa, Sohna Road",3.55,2
Tijuca,4.6,1
Tilak Marg,0.0,1
Tilak Nagar,1.41,61
Tollcross,4.0,1
Tonk Road,4.3,1
Town Hall,3.85,8
Trade Centre Area,3.7,1
Trentham East,4.1,1
"Trident, Udyog Vihar",3.4,2
Trilokpuri,0.0,1
Tughlakabad Institutional Area,3.7,1
"Tulip Mall, Sector 48, Noida",0.52,5
"Twelve Picardy Place, New Town",4.2,1
"Two Horizon Center, Golf Course Road",3.67,3
Tybee Island,3.85,2
UB City,4.4,1
"UP Town Center, Diliman, Quezon City",4.8,1
Uday Park,3.73,3
Udyog Vihar,1.06,37
Ulubari,4.25,2
Umm Ghuwailina,4.2,2
Umm Hurair,4.3,1
Unit 4,3.5,1
"Unitech Cyber Park, Sector 39, Gurgaon",2.06,5
"Unitech Infospace, Sector 21, Gurgaon",2.83,25
"Unity One Mall, Janakpuri",3.26,5
University City,4.17,3
"Upper St Martin's Lane, Covent Garden",4.5,2
Urbandale,3.8,1
Urca,4.3,1
Usmanpura,3.3,2
Uttam Nagar,1.72,59
Uzan Bazaar,4.02,5
V & A Waterfront,3.95,2
"V3S Mall, Laxmi Nagar",2.82,26
Vadiwadi,4.08,8
Vagator,4.2,1
Vaishali Nagar,3.25,2
Valdosta,3.72,20
Vasant Kunj,3.53,23
"Vasant Square Mall, Vasant Kunj",3.32,9
Vasant Vihar,2.18,36
Vastrapur,3.95,2
Vasundhara Enclave,0.84,62
Velachery,4.5,3
"Venetian Village, Al Maqtaa",4.9,1
Vernonia,4.3,1
"Versova, Andheri West",4.1,1
Vesu,3.6,4
"Vibe by The LaLit Traveller, Mathura Road",3.3,1
Victor Harbor,3.6,1
"Victoria Wharf, V & A Waterfront",4.25,2
"Victoria, Rochor",3.2,1
Vidhyadhar Nagar,3.7,1
Vijay Nagar,3.66,46
Vikas Marg,1.7,2
Vikaspuri,2.86,60
Vila Maria,4.4,1
Vila Mariana,4.6,1
Vila S��nia,4.1,1
Vile Parle East,3.6,1
"Villa Shanti, White Town",3.9,1
Viman Nagar,4.1,1
"Vinayak City Centre Mall, Civil Lines",3.3,1
Vineland Station,4.3,1
"Vivanta by Taj, Sector 44, Gurgaon",3.9,2
Vivek Vihar,1.98,36
Vivekanand Nagar,3.8,1
"Vyapar Kendra, Palam Vihar",2.43,7
"Vyapar Kendra, Sushant Lok",2.95,17
Vyttila,3.6,1
Waikiki,4.31,7
Wakad,4.4,1
"Walker's Court, Soho",4.6,1
Waltair Uplands,4.4,1
Warner Robins,3.92,9
"Waterfall Corner Mall, Midrand",3.8,1
"Waterglen Shopping Centre, Garsfontein",4.0,1
Waterkloof,4.17,3
Waterloo,3.66,7
Wazirpur,2.03,6
Weirton,3.9,1
Wellington Central,4.03,3
West Des Moines,4.1,2
"West End Mall, Janak Puri",2.75,2
"West Gate Mall, Rajouri Garden",3.5,1
West Park,4.9,1
West Patel Nagar,3.68,4
"Westend Mall, Rajguru Nagar",3.9,1
White Avenue,3.8,3
White Town,3.62,8
Winchester Bay,3.2,1
Windermere,4.9,1
Winter Park,4.28,6
"Woods Resort, Gurgaon",3.2,1
"World Trade Center Mall, Al Markaziya",4.45,2
"Worldmark 1, Aerocity",1.15,14
"Worldmark 3, Aerocity",0.0,1
Wynyard Quarter,4.6,1
YN Road,4.0,1
"Yas Mall, Yas Island",4.6,1
Ybor City,4.4,1
Yorkton,3.3,1
Yusuf Sarai,1.97,25
Y۱ld۱zevler,4.7,1
"Z Square Mall, Mall Road",4.0,1
Zakir Nagar,0.0,14
Zoo Tiniali,4.22,4
"ibis New Delhi, Aerocity",1.55,2
�ayyolu,4.3,1
�guas Claras,3.67,3
�ukurambar,3.4,1
��mitk�_y,4.2,1
