City,Cuisines
Abu Dhabi,"['American', 'Italian, Pizza', 'Indian']"
Agra,"['North Indian, Mughlai', 'North Indian, Chinese, Continental', 'North Indian']"
Ahmedabad,"['Chinese, Italian, North Indian, Mexican, Mediterranean, Thai', 'Continental, Chinese, North Indian', 'Ice Cream, Desserts, Continental']"
Albany,"['Unknown', 'Japanese, Steak, Sushi', 'BBQ, Burger, Seafood']"
Allahabad,"['North Indian, Chinese', 'North Indian, South Indian, Fast Food', 'Cafe, Fast Food']"
Amritsar,"['North Indian', 'North Indian, Chinese', 'North Indian, Fast Food']"
Ankara,"['Kebab, Turkish Pizza', 'Cafe', 'Kebab']"
Armidale,"['Bar Food, Steak']"
Athens,"['American, Italian, Pizza', 'Southern', 'American, Southern, Southwestern']"
Auckland,"['Desserts', 'European', 'Cafe']"
Augusta,"['Mexican', 'American, Caribbean, Seafood', 'Chinese, Steak']"
Aurangabad,"['North Indian', 'Italian, Continental, Chinese, North Indian', 'North Indian, Chinese, Continental, Italian']"
Balingup,['Modern Australian']
Bandung,"['Cafe, Coffee and Tea, Western']"
Bangalore,"['Pizza, Cafe, Italian', 'Modern Indian', 'North Indian, Mughlai']"
Beechworth,"['Pizza, Bar Food']"
Bhopal,"['Fast Food', 'North Indian, Chinese', 'North Indian, South Indian, Street Food, Bakery']"
Bhubaneshwar,"['Chinese', 'Cafe', 'Mediterranean, Asian, Continental, North Indian, Arabian']"
Birmingham,"['Italian', 'Cafe, British', 'Fast Food']"
Bogor,"['Cafe, Desserts, Beverages', 'Peranakan, Indonesian']"
Boise,"['American, Bar Food', 'American, Burger', 'Pizza']"
Bras�_lia,"['Japanese', 'Pizza', 'International']"
Cape Town,"['Pizza, Grill', 'Cafe, Patisserie', 'Spanish, Tapas']"
Cedar Rapids/Iowa City,"['Indian', 'American, Breakfast, Burger', 'Italian, Pizza']"
Chandigarh,"['North Indian, Chinese, Continental, Pizza', 'American, Cafe', 'Mexican, American, Italian']"
Chatham-Kent,"['Japanese, Sushi']"
Chennai,"['North Indian, Mughlai, Chinese, South Indian', 'European, Italian, Desserts', 'North Indian, Chinese, Arabian']"
Clatskanie,"['American, Breakfast, Desserts']"
Cochrane,"['Asian, Japanese']"
Coimbatore,"['Cafe, Continental, Fast Food', 'South Indian, Chettinad, North Indian', 'Cafe']"
Colombo,"['Chinese', 'North Indian, Chinese, Sri Lankan', 'Italian, Cafe, Desserts']"
Columbus,"['American', 'Asian, Vietnamese', 'American, Seafood, Cajun']"
Consort,"['Chinese, Canadian']"
Dalton,"['American, BBQ, Southern', 'Desserts, Sandwich', 'BBQ']"
Davenport,"['American', 'Mexican', 'Indian, Mediterranean, Middle Eastern']"
Dehradun,"['North Indian, Chinese', 'Cafe', 'Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food']"
Des Moines,"['BBQ, Burger, Desserts', 'American, Coffee and Tea', 'BBQ, Caribbean, Cajun']"
Dicky Beach,"['Coffee and Tea, Tea, Modern Australian']"
Doha,"['Indian', 'Pakistani', 'International']"
Dubai,"['Indian', 'Mediterranean, Italian, Thai, European', 'Indian, Rajasthani']"
Dubuque,"['Mexican', 'American, Burger', 'Breakfast']"
East Ballina,['Cafe']
Edinburgh,"['American', 'Italian', 'Cafe, Bakery']"
Faridabad,"['North Indian', 'North Indian, Chinese', 'North Indian, Mughlai, Chinese']"
Fernley,['Mexican']
Flaxton,"['Tea, Modern Australian']"
Forrest,"['Cafe, Australian']"
Gainesville,"['American, Southern', 'BBQ', 'BBQ, Burger, Seafood']"
Ghaziabad,"['North Indian', 'Cafe', 'Chinese']"
Goa,"['Finger Food', 'Continental, Goan, Seafood, North Indian', 'North Indian, Continental, Goan']"
Gurgaon,"['North Indian', 'North Indian, Chinese', 'Cafe']"
Guwahati,"['Cafe', 'Chinese', 'Cafe, Italian']"
Hepburn Springs,"['Cafe, Coffee and Tea, Modern Australian', 'Italian, Fusion, Cafe']"
Huskisson,"['Breakfast, Modern Australian']"
Hyderabad,"['European, Mediterranean, North Indian', 'Mexican, American, Tex-Mex, Burger', 'Mughlai, North Indian, Chinese']"
Indore,"['North Indian, Chinese', 'Cafe, Fast Food', 'North Indian, Chinese, Continental, Mediterranean, Asian']"
Inner City,"['European, Contemporary', 'Tapas']"
Inverloch,"['Burger, Coffee and Tea, Modern Australian']"
Jaipur,"['Cafe, Fast Food, Street Food', 'North Indian, European, Continental, Finger Food', 'Italian, Chinese, Mexican, Thai, North Indian']"
Jakarta,"['Sunda, Indonesian', 'Seafood, Western', 'Korean']"
Johannesburg,"['Asian, Sushi, Tapas', 'European, Pizza', 'Burger, Finger Food, Pizza']"
Kanpur,"['North Indian, Chinese', 'North Indian', 'North Indian, Continental, Asian']"
Kochi,"['Kerala', 'Cafe, Continental, Italian', 'Seafood']"
Kolkata,"['North Indian, Chinese', 'Italian, Mexican, American, Mediterranean', 'Asian, Chinese']"
Lakes Entrance,"['Breakfast, Coffee and Tea']"
Lakeview,"['Burger, Desserts, Sandwich']"
Lincoln,['Thai']
London,"['American, Burger', 'Chinese, Dim Sum', 'Italian']"
Lorn,"['Breakfast, Coffee and Tea']"
Lucknow,"['Cafe, Fast Food', 'Mughlai, Lucknowi', 'Cafe, Italian, Continental']"
Ludhiana,"['North Indian, Chinese, Continental', 'North Indian, Mughlai', 'North Indian, Chinese, Fast Food']"
Macedon,['Cafe']
Macon,"['Japanese, Sushi, Thai', 'Pizza, Sandwich', 'Coffee and Tea, Cuban, Latin American']"
Makati City,"['French, Japanese, Desserts', 'Japanese']"
Manchester,"['Italian', 'Pizza, Fast Food', 'American, Fast Food, Desserts, Steak']"
Mandaluyong City,"['Seafood, Asian, Filipino, Indian', 'Japanese, Sushi', 'Japanese, Korean']"
Mangalore,"['Seafood', 'Desserts, Bakery', 'Cafe']"
Mayfield,['Asian']
Mc Millan,"['Breakfast, Burger']"
Middleton Beach,"['Bar Food, Modern Australian']"
Miller,['Unknown']
Mohali,"['Continental, North Indian']"
Monroe,"['Italian, Pizza']"
Montville,"['Coffee and Tea, Modern Australian']"
Mumbai,"['Cafe, Italian, Desserts, Fast Food, Chinese, Tea', 'Pizza', 'Healthy Food, American, Burger, Salad']"
Mysore,"['North Indian, Chinese, South Indian', 'North Indian, Chinese, Italian', 'Andhra']"
Nagpur,"['Cafe', 'Fast Food', 'Continental, Fast Food, Tea']"
Nashik,"['North Indian', 'Maharashtrian', 'Cafe']"
New Delhi,"['North Indian', 'North Indian, Chinese', 'Fast Food']"
Noida,"['North Indian', 'North Indian, Chinese', 'Chinese']"
Ojo Caliente,"['American, International, Southwestern']"
Orlando,"['Spanish, Tapas', 'Hawaiian', 'American, Sandwich, Salad']"
Palm Cove,"['Mediterranean, Seafood']"
Panchkula,"['North Indian, Middle Eastern, Pizza']"
Pasay City,"['Asian, European', 'Seafood, Filipino, Asian, European', 'European, Asian, Indian']"
Pasig City,"['Filipino', 'Filipino, Mexican', 'American, Ice Cream, Desserts']"
Patna,"['North Indian, Chinese', 'Fast Food', 'South Indian, Fast Food']"
Paynesville,['Modern Australian']
Penola,"['Cafe, Coffee and Tea, Sandwich']"
Pensacola,"['Mexican, Southwestern, Tex-Mex', 'Burger, Bar Food, Steak', 'Italian, Pizza, Sandwich']"
Phillip Island,"['Breakfast, Coffee and Tea, Modern Australian']"
Pocatello,"['Mexican', 'American, BBQ, Steak', 'Burger, Fast Food']"
Potrero,"['American, BBQ, Burger']"
Pretoria,"['African', 'Burger, Steak, Seafood', 'Indian']"
Princeton,['Seafood']
Puducherry,"['Cafe', 'Pizza, Italian', 'Desserts']"
Pune,"['Continental, North Indian, Mughlai, Burmese', 'North Indian, Asian', 'North Indian, Continental, Finger Food']"
Quezon City,"['Filipino, Mexican']"
Ranchi,"['North Indian, Chinese', 'North Indian, South Indian, Chinese', 'North Indian, Chinese, South Indian, Chinese']"
Randburg,['Cafe']
Rest of Hawaii,"['Hawaiian, Seafood, Steak', 'Seafood', 'American, Pizza, Bar Food']"
Rio de Janeiro,"['Brazilian', 'Brazilian, Bar Food', 'Juices, Healthy Food']"
San Juan City,"['Filipino', 'Korean']"
Sandton,"['Mexican', 'Contemporary, Italian', 'Contemporary, Burger, European']"
Santa Rosa,"['Cafe, American, Italian, Filipino', 'Italian, Pizza']"
Savannah,"['American, Breakfast', 'Burger', 'Southern']"
Secunderabad,"['North Indian, Chinese', 'Cafe, Continental']"
Sharjah,"['Indian, North Indian, South Indian, Chinese', 'South Indian', 'Indian, Mughlai, South Indian, Biryani']"
Singapore,"['French', 'American, Steak', 'Chinese, Continental, Singaporean']"
Sioux City,"['American, Seafood, Steak', 'Pizza', 'American, Pizza, Bar Food']"
Surat,"['Chinese, Thai, Asian', 'South Indian', 'Chinese, North Indian, Italian, Mexican']"
S��o Paulo,"['Brazilian', 'Italian, Pizza', 'Steak, BBQ']"
Tagaytay City,['Filipino']
Taguig City,"['Cafe, Korean, Desserts', 'Cafe, Bakery, American, Italian', 'Seafood, American, Mediterranean, Japanese']"
Tampa Bay,"['BBQ, Caribbean, Seafood', 'Latin American, Mexican, Southwestern', 'American, Italian, Seafood']"
Tangerang,"['Indonesian', 'Sunda, Indonesian']"
Tanunda,"['Modern Australian, Australian']"
Trentham East,['Australian']
Vadodara,"['Cafe', 'North Indian, Chinese', 'South Indian']"
Valdosta,"['Mexican', 'Bar Food', 'Seafood, Southern']"
Varanasi,"['Chinese, North Indian', 'South Indian', 'North Indian']"
Vernonia,"['Coffee and Tea, Mediterranean']"
Victor Harbor,"['Coffee and Tea, Tapas, Australian']"
Vineland Station,"['Italian, Mediterranean, Pizza']"
Vizag,"['Pizza, Fast Food', 'Fast Food', 'South Indian, North Indian']"
Waterloo,"['Mexican', 'Chinese', 'Italian, Pizza, Vegetarian']"
Weirton,"['Burger, Greek, Sandwich']"
Wellington City,"['Cafe', 'American', 'Cafe, Kiwi']"
Winchester Bay,"['Burger, Seafood, Steak']"
Yorkton,['Asian']
��stanbul,"['Cafe', 'Restaurant Cafe', 'Desserts']"
